dt,day,hour,minute,tag,in_worker,out_worker,in_pollen,out_pollen,in_drone,out_drone
2025-08-27 15:50:40,27,15,50,TX2_6,83,68,0,1,8,10
2025-08-27 15:55:40,27,15,55,TX2_6,67,68,2,0,6,8
2025-08-27 16:00:40,27,16,0,TX2_6,74,91,4,6,9,8
2025-08-27 16:05:40,27,16,5,TX2_6,69,64,10,4,8,7
2025-08-27 16:10:40,27,16,10,TX2_6,87,88,4,3,8,9
2025-08-27 16:55:28,27,16,55,TX2_6,38,50,1,0,4,8
2025-08-27 17:00:28,27,17,0,TX2_6,87,90,6,5,7,9
2025-08-27 17:05:28,27,17,5,TX2_6,53,64,3,2,10,9
2025-08-27 17:10:28,27,17,10,TX2_6,56,52,2,3,3,9
2025-08-27 17:15:28,27,17,15,TX2_6,81,81,1,2,5,10
2025-08-27 17:20:28,27,17,20,TX2_6,79,64,2,1,7,10
2025-08-27 17:25:28,27,17,25,TX2_6,62,48,2,3,1,6
2025-08-27 17:30:28,27,17,30,TX2_6,71,67,3,0,7,17
2025-08-27 17:35:28,27,17,35,TX2_6,49,39,1,2,9,5
2025-08-27 17:40:28,27,17,40,TX2_6,77,64,3,6,3,9
2025-08-27 17:45:28,27,17,45,TX2_6,69,74,3,2,3,2
2025-08-27 17:50:28,27,17,50,TX2_6,74,56,0,2,6,7
2025-08-27 17:55:28,27,17,55,TX2_6,73,67,0,2,8,6
2025-08-27 18:00:28,27,18,0,TX2_6,68,47,1,2,6,17
2025-08-27 18:05:29,27,18,5,TX2_6,107,101,3,5,10,10
2025-08-27 18:10:29,27,18,10,TX2_6,87,69,3,2,7,4
2025-08-27 18:15:29,27,18,15,TX2_6,61,52,3,2,4,6
2025-08-27 18:20:29,27,18,20,TX2_6,88,64,3,4,5,7
2025-08-27 18:25:29,27,18,25,TX2_6,84,75,6,4,8,11
2025-08-27 18:30:29,27,18,30,TX2_6,61,68,2,2,7,6
2025-08-27 18:35:29,27,18,35,TX2_6,64,58,1,6,5,5
2025-08-27 18:40:29,27,18,40,TX2_6,103,77,1,4,7,9
2025-08-27 18:45:29,27,18,45,TX2_6,74,79,2,2,2,7
2025-08-27 18:50:29,27,18,50,TX2_6,57,42,0,0,3,6
2025-08-27 18:55:29,27,18,55,TX2_6,74,77,1,6,8,11
2025-08-27 19:00:29,27,19,0,TX2_6,72,65,0,4,5,10
2025-08-27 19:05:29,27,19,5,TX2_6,69,65,3,4,9,8
2025-08-27 19:10:29,27,19,10,TX2_6,102,89,2,1,2,9
2025-08-27 19:15:29,27,19,15,TX2_6,94,88,1,3,3,7
2025-08-27 19:20:30,27,19,20,TX2_6,79,79,1,2,5,7
2025-08-27 19:25:30,27,19,25,TX2_6,72,71,1,5,12,8
2025-08-27 19:30:30,27,19,30,TX2_6,62,62,3,2,4,10
2025-08-27 19:35:30,27,19,35,TX2_6,55,70,2,2,5,7
2025-08-27 19:40:30,27,19,40,TX2_6,76,75,1,2,4,6
2025-08-27 19:45:30,27,19,45,TX2_6,70,76,1,5,8,6
2025-08-27 19:50:30,27,19,50,TX2_6,81,85,3,5,5,9
2025-08-27 19:55:30,27,19,55,TX2_6,69,57,4,2,5,10
2025-08-27 20:00:30,27,20,0,TX2_6,69,63,1,5,6,3
2025-08-27 20:05:30,27,20,5,TX2_6,66,53,3,2,5,16
2025-08-27 20:10:30,27,20,10,TX2_6,94,97,4,2,4,12
2025-08-27 20:15:30,27,20,15,TX2_6,93,91,8,5,6,7
2025-08-27 20:20:30,27,20,20,TX2_6,80,71,6,5,5,7
2025-08-27 20:25:30,27,20,25,TX2_6,100,94,4,5,6,9
2025-08-27 20:30:30,27,20,30,TX2_6,80,68,1,2,7,3
2025-08-27 20:35:30,27,20,35,TX2_6,78,64,3,3,12,8
2025-08-27 20:40:30,27,20,40,TX2_6,90,85,3,3,7,11
2025-08-27 20:45:30,27,20,45,TX2_6,135,135,2,1,7,3
2025-08-27 20:50:31,27,20,50,TX2_6,80,94,3,3,7,4
2025-08-27 20:55:31,27,20,55,TX2_6,96,66,3,2,9,7
2025-08-27 21:00:31,27,21,0,TX2_6,106,89,5,1,12,10
2025-08-27 21:05:31,27,21,5,TX2_6,75,52,7,6,4,6
2025-08-27 21:10:31,27,21,10,TX2_6,56,51,6,4,4,7
2025-08-27 21:15:31,27,21,15,TX2_6,69,74,0,5,7,12
2025-08-27 21:20:31,27,21,20,TX2_6,73,70,2,6,6,3
2025-08-27 21:25:31,27,21,25,TX2_6,97,79,3,4,5,17
2025-08-27 21:30:31,27,21,30,TX2_6,74,70,5,5,13,9
2025-08-27 21:35:31,27,21,35,TX2_6,94,62,2,5,8,12
2025-08-27 21:40:31,27,21,40,TX2_6,97,84,5,1,4,14
2025-08-27 21:45:31,27,21,45,TX2_6,107,85,5,2,8,6
2025-08-27 21:50:31,27,21,50,TX2_6,129,104,4,2,5,5
2025-08-27 21:55:31,27,21,55,TX2_6,91,89,3,2,2,10
2025-08-27 22:00:32,27,22,0,TX2_6,93,89,5,0,3,4
2025-08-27 22:05:32,27,22,5,TX2_6,100,75,0,0,0,0
2025-08-27 22:10:32,27,22,10,TX2_6,77,64,0,0,0,0
2025-08-27 22:15:32,27,22,15,TX2_6,108,102,0,0,0,0
2025-08-27 22:20:32,27,22,20,TX2_6,109,95,0,0,0,0
2025-08-27 22:25:32,27,22,25,TX2_6,100,57,0,0,0,0
2025-08-27 22:30:32,27,22,30,TX2_6,96,71,0,0,0,0
2025-08-27 22:35:32,27,22,35,TX2_6,128,105,1,1,0,0
2025-08-27 22:40:32,27,22,40,TX2_6,111,116,0,0,0,0
2025-08-27 22:45:32,27,22,45,TX2_6,95,84,1,0,0,0
2025-08-27 22:50:32,27,22,50,TX2_6,129,93,1,0,0,0
2025-08-27 22:55:32,27,22,55,TX2_6,111,98,1,0,0,0
2025-08-27 23:00:32,27,23,0,TX2_6,133,99,1,0,0,0
2025-08-27 23:05:32,27,23,5,TX2_6,144,114,0,0,0,0
2025-08-27 23:10:32,27,23,10,TX2_6,112,90,1,0,0,0
2025-08-27 23:15:32,27,23,15,TX2_6,129,104,1,0,0,0
2025-08-27 23:20:33,27,23,20,TX2_6,132,87,0,0,0,0
2025-08-27 23:25:33,27,23,25,TX2_6,152,100,2,0,0,0
2025-08-27 23:30:33,27,23,30,TX2_6,155,102,1,1,0,0
2025-08-27 23:35:33,27,23,35,TX2_6,115,103,0,0,0,0
2025-08-27 23:40:33,27,23,40,TX2_6,150,130,1,0,0,0
2025-08-27 23:45:33,27,23,45,TX2_6,149,116,0,0,0,0
2025-08-27 23:50:33,27,23,50,TX2_6,179,114,1,0,0,0
2025-08-27 23:55:33,27,23,55,TX2_6,147,107,3,2,0,0
2025-08-28 00:00:33,28,0,0,TX2_6,123,100,1,0,0,0
2025-08-28 00:05:33,28,0,5,TX2_6,142,90,2,0,0,0
2025-08-28 00:10:33,28,0,10,TX2_6,113,83,2,0,0,0
2025-08-28 00:15:33,28,0,15,TX2_6,136,93,0,0,0,0
2025-08-28 00:20:33,28,0,20,TX2_6,159,101,2,1,0,0
2025-08-28 00:25:33,28,0,25,TX2_6,133,97,0,2,0,0
2025-08-28 00:30:33,28,0,30,TX2_6,164,144,2,1,0,0
2025-08-28 00:35:33,28,0,35,TX2_6,142,100,2,0,0,0
2025-08-28 00:40:34,28,0,40,TX2_6,172,130,1,0,0,0
2025-08-28 00:45:34,28,0,45,TX2_6,166,124,4,1,0,0
2025-08-28 00:50:34,28,0,50,TX2_6,149,85,11,6,17,6
2025-08-28 00:55:34,28,0,55,TX2_6,160,125,12,9,22,14
2025-08-28 01:00:34,28,1,0,TX2_6,159,123,2,1,0,0
2025-08-28 01:05:34,28,1,5,TX2_6,133,100,1,0,0,0
2025-08-28 01:10:34,28,1,10,TX2_6,188,107,5,1,0,0
2025-08-28 01:15:34,28,1,15,TX2_6,188,128,4,0,0,0
2025-08-28 01:20:34,28,1,20,TX2_6,153,110,6,4,0,0
2025-08-28 01:25:34,28,1,25,TX2_6,182,120,11,1,0,0
2025-08-28 01:30:34,28,1,30,TX2_6,167,118,2,1,0,0
2025-08-28 01:35:34,28,1,35,TX2_6,188,118,2,2,0,0
2025-08-28 01:40:34,28,1,40,TX2_6,185,114,4,1,0,0
2025-08-28 01:45:34,28,1,45,TX2_6,178,139,10,3,0,0
2025-08-28 01:50:34,28,1,50,TX2_6,164,117,11,2,0,0
2025-08-28 01:55:34,28,1,55,TX2_6,237,137,14,4,0,0
2025-08-28 02:00:34,28,2,0,TX2_6,214,152,12,5,0,0
2025-08-28 02:05:34,28,2,5,TX2_6,179,104,14,1,0,0
2025-08-28 02:10:34,28,2,10,TX2_6,214,146,13,0,0,0
2025-08-28 02:15:34,28,2,15,TX2_6,202,112,14,1,0,0
2025-08-28 02:20:34,28,2,20,TX2_6,193,110,13,8,0,0
2025-08-28 02:25:34,28,2,25,TX2_6,160,82,8,4,0,1
2025-08-28 02:30:34,28,2,30,TX2_6,198,119,12,2,0,0
2025-08-28 02:35:34,28,2,35,TX2_6,209,107,11,2,0,0
2025-08-28 02:40:35,28,2,40,TX2_6,253,149,12,5,0,0
2025-08-28 02:45:35,28,2,45,TX2_6,188,108,14,5,0,0
2025-08-28 02:50:35,28,2,50,TX2_6,173,76,13,4,0,0
2025-08-28 02:55:35,28,2,55,TX2_6,186,98,35,11,1,2
2025-08-28 03:00:35,28,3,0,TX2_6,206,117,15,6,0,0
2025-08-28 03:05:35,28,3,5,TX2_6,149,99,12,1,0,0
2025-08-28 03:10:35,28,3,10,TX2_6,182,88,7,5,0,0
2025-08-28 03:15:35,28,3,15,TX2_6,144,96,18,1,0,0
2025-08-28 03:20:35,28,3,20,TX2_6,168,90,15,3,0,0
2025-08-28 03:25:35,28,3,25,TX2_6,261,147,11,3,0,0
2025-08-28 03:30:35,28,3,30,TX2_6,200,99,13,4,1,0
2025-08-28 03:35:35,28,3,35,TX2_6,208,106,7,0,1,0
2025-08-28 03:40:35,28,3,40,TX2_6,205,108,6,2,0,0
2025-08-28 03:45:35,28,3,45,TX2_6,199,84,11,0,0,0
2025-08-28 03:50:35,28,3,50,TX2_6,212,103,19,4,0,0
2025-08-28 03:55:35,28,3,55,TX2_6,252,136,17,5,0,0
2025-08-28 04:00:36,28,4,0,TX2_6,209,124,15,2,0,0
2025-08-28 04:05:36,28,4,5,TX2_6,232,137,12,1,0,0
2025-08-28 04:10:36,28,4,10,TX2_6,244,119,15,6,0,0
2025-08-28 04:15:36,28,4,15,TX2_6,216,101,17,2,1,0
2025-08-28 04:20:36,28,4,20,TX2_6,207,118,10,6,0,0
2025-08-28 04:25:36,28,4,25,TX2_6,201,71,20,2,0,0
2025-08-28 04:30:36,28,4,30,TX2_6,227,120,19,3,0,0
2025-08-28 04:35:36,28,4,35,TX2_6,239,127,32,11,3,1
2025-08-28 04:40:36,28,4,40,TX2_6,274,132,28,8,0,0
2025-08-28 04:45:36,28,4,45,TX2_6,241,130,22,10,0,0
2025-08-28 04:50:36,28,4,50,TX2_6,275,128,17,5,0,0
2025-08-28 04:55:36,28,4,55,TX2_6,256,131,1,1,0,0
2025-08-28 05:00:36,28,5,0,TX2_6,239,90,4,0,0,0
2025-08-28 05:05:36,28,5,5,TX2_6,275,112,4,3,0,0
2025-08-28 05:10:36,28,5,10,TX2_6,201,103,12,0,0,0
2025-08-28 05:15:36,28,5,15,TX2_6,197,87,9,3,0,0
2025-08-28 05:20:36,28,5,20,TX2_6,212,94,12,2,0,0
2025-08-28 05:25:36,28,5,25,TX2_6,210,86,27,5,2,0
2025-08-28 05:30:36,28,5,30,TX2_6,244,110,27,8,0,0
2025-08-28 05:35:36,28,5,35,TX2_6,182,107,13,3,0,0
2025-08-28 05:40:36,28,5,40,TX2_6,255,138,17,1,0,0
2025-08-28 05:45:37,28,5,45,TX2_6,245,130,19,9,0,0
2025-08-28 05:50:37,28,5,50,TX2_6,261,111,26,6,0,0
